name,google_scholar_id,pub_title,pub_year,source,first_name,last_name,updated
Lisa I. Pilkington,yi87D2cAAAAJ,Synthesis and Anti-Proliferative Activity of 5-Benzoyl and 5-Benzylhydroxy Derivatives of 3-Amino-2-Arylcarboxamido-Thieno[2-3-b]Pyridines,2023,Google Scholar,Lisa,Pilkington,2023-12-21 16:54:29.408680
Lisa I. Pilkington,yi87D2cAAAAJ,Synthesis and antibacterial analysis of C-6 amino-functionalised chitosan derivatives,2023,Google Scholar,Lisa,Pilkington,2023-12-21 16:54:29.408680
Lisa I. Pilkington,yi87D2cAAAAJ,Synthesis of a novel isotopically labelled standard for quantification of γ-nonalactone in New Zealand Pinot noir via SIDA-SPE-GC–MS,2023,Google Scholar,Lisa,Pilkington,2023-12-21 16:54:29.408680
Lisa I. Pilkington,yi87D2cAAAAJ,"Total Synthesis of Linear Coumarniolignoids (+) and (−)-Sapiumin C,(−)-Moluccanin, and (−)-Hemidesminine",2023,Google Scholar,Lisa,Pilkington,2023-12-21 16:54:29.408680
Lisa I. Pilkington,yi87D2cAAAAJ,Exploring the Equilibrium between Glut3SHal and Glut3SH–SO3: A Method for the Quantification of These Compounds in Wine,2023,Google Scholar,Lisa,Pilkington,2023-12-21 16:54:29.408680
Lisa I. Pilkington,yi87D2cAAAAJ,Electrochemical Approach for Specific Capture and Rapid Release of Nanoscale Placental Extracellular Vesicles Using Aptamer-Modified Conducting Terpolymer-Coated Carbon Cloth,2023,Google Scholar,Lisa,Pilkington,2023-12-21 16:54:29.408680
Lisa I. Pilkington,yi87D2cAAAAJ,"Investigation of 2-phenylimidazo[1,2-a]quinolines as potential antiproliferative agents",2023,Google Scholar,Lisa,Pilkington,2023-12-21 16:54:29.408680
Lisa I. Pilkington,yi87D2cAAAAJ,Characterization of polysulfides in Saccharomyces cerevisiae cells and finished wine from a cysteine-supplemented model grape medium,2023,Google Scholar,Lisa,Pilkington,2023-12-21 16:54:29.408680
Lisa I. Pilkington,yi87D2cAAAAJ,Synthesis and Anti-Proliferative Evaluation of Arctigenin Analogues with C-9′ Derivatisation,2023,Google Scholar,Lisa,Pilkington,2023-12-21 16:54:29.408680
Lisa I. Pilkington,yi87D2cAAAAJ,"Porous bioelectronic substrates for simple electrochemical conjugation and subsequent, controlled electrochemical release of antisense oligonucleotide drug",2023,Google Scholar,Lisa,Pilkington,2023-12-21 16:54:29.408680
Lisa I. Pilkington,yi87D2cAAAAJ,The cleanability of laser etched surfaces with repeated fouling using Staphylococcus aureus and milk,2023,Google Scholar,Lisa,Pilkington,2023-12-21 16:54:29.408680
=======
Alex James,TSjPmycAAAAJ,Stochastic modelling of intersectional pay gaps in universities,2023,Google Scholar,Alex,James,2023-12-20 12:08:03.169798
Alex James,TSjPmycAAAAJ,"Sticky Floors, Double-Binds, and Double Whammies: Adjusting for Research Performance Reveals Universities’ Gender Pay Gap is Not Disappearing",2023,Google Scholar,Alex,James,2023-12-20 12:08:03.169798
Alex James,TSjPmycAAAAJ,Brood size in an uncertain world,2023,Google Scholar,Alex,James,2023-12-20 12:08:03.169798
Alex James,TSjPmycAAAAJ,Detectability of ten invasive mammal pests in New Zealand: a synthesis of spatial detection parameters,2023,Google Scholar,Alex,James,2023-12-20 12:08:03.169798
alex macmillan,8D8W8NsAAAAJ,Overcoming resistance and rebalancing power: shifting gears for cross sectoral collaboration on transport and climate change,2023,Google Scholar,Alex,Macmillan,2023-12-20 12:08:08.332580
alex macmillan,8D8W8NsAAAAJ,"Where do the parties stand? A low carbon, healthy transport system",2023,Google Scholar,Alex,Macmillan,2023-12-20 12:08:08.332580
alex macmillan,8D8W8NsAAAAJ,Effects of Te Ara Mua–Future Streets suburban street retrofit on traffic speed and volume: Controlled before-after study,2023,Google Scholar,Alex,Macmillan,2023-12-20 12:08:08.332580
alex macmillan,8D8W8NsAAAAJ,"Superheated storms: climate drivers, health effects and responses",2023,Google Scholar,Alex,Macmillan,2023-12-20 12:08:08.332580
Ann Brower,Ic0ntsUAAAAJ,"Structural Adaptation Triggers in the CAP: Regional Implementation 2007–2013 in the East Midlands, England",2023,Google Scholar,Ann,Brower,2023-12-20 12:08:12.490004
Ann Brower,Ic0ntsUAAAAJ,Stochastic modelling of intersectional pay gaps in universities,2023,Google Scholar,Ann,Brower,2023-12-20 12:08:12.490004
Ann Brower,Ic0ntsUAAAAJ,"Sticky Floors, Double-Binds, and Double Whammies: Adjusting for Research Performance Reveals Universities’ Gender Pay Gap is Not Disappearing",2023,Google Scholar,Ann,Brower,2023-12-20 12:08:12.490004
Ann Brower,Ic0ntsUAAAAJ,"Co-Management of Kauri Dieback in the Waitākere Ranges, Aotearoa New Zealand",2023,Google Scholar,Ann,Brower,2023-12-20 12:08:12.490004
Ann Brower,Ic0ntsUAAAAJ,New Zealand's braided rivers: The land the law forgot,2023,Google Scholar,Ann,Brower,2023-12-20 12:08:12.490004
Anna Matheson,Xt1AACMAAAAJ,Collective action is needed to build a more just science system,2023,Google Scholar,Anna,Matheson,2023-12-20 12:08:18.096368
Anna Matheson,Xt1AACMAAAAJ,"Dietary practices, physical activity and social determinants of non-communicable diseases in Nepal: A systemic analysis",2023,Google Scholar,Anna,Matheson,2023-12-20 12:08:18.096368
Anna Matheson,Xt1AACMAAAAJ,Case study: COVID-19 and governing for health and wellbeing in New Zealand–putting communities at the centre,2023,Google Scholar,Anna,Matheson,2023-12-20 12:08:18.096368
Adrian J McDonald,9zBBTb0AAAAJ,The sensitivity of Southern Ocean atmospheric dimethyl sulfide (DMS) to modeled oceanic DMS concentrations and emissions,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,Regional Characteristics of Extreme Precipitation Events Over Aotearoa New Zealand,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,Climate change impacts on Aotearoa New Zealand: a horizon scan approach,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,Earth-system-model evaluation of cloud and precipitation occurrence for supercooled and warm clouds over the Southern Ocean's Macquarie Island,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,Supercooled liquid water cloud classification using lidar backscatter peak properties,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,The sensitivity of Southern Ocean atmospheric dimethyl sulfide to modelled sources and emissions,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,Delineating Polynya Area Using Active and Passive Microwave Sensors for the Western Ross Sea Sector of Antarctica,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,Positive correlation between wet-day frequency and intensity linked to universal precipitation drivers,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,Sea2Cloud: From Biogenic Emission Fluxes to Cloud Properties in the Southwest Pacific,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,An assessment of extra-tropical cyclone precipitation extremes over the Southern Hemisphere using ERA5,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,Increasing temperature extremes in New Zealand and their connection to synoptic circulation features,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,Assessing the cloud radiative bias at Macquarie Island in the ACCESS-AM2 model,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,Understanding the relative importance of different precipitation generating weather systems and quantifying their efficiencies,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,An assessment of extreme precipitation within cyclone composites using ERA5,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,Observed Process-level Constraints of Cloud and Precipitation Properties over the Southern Ocean for Earth System Model Evaluation,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,An assessment of Southern Hemisphere extra-tropical cyclones in ERA5 using WindSat,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,Mean and extreme precipitation over Aotearoa New Zealand: A comparison across multiple different estimation techniques,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,Machine learning of cloud types in satellite observations and climate models,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,Understanding Internal Cluster Variability Through Subcluster Metric Analysis in a Geophysical Context,2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
Adrian J McDonald,9zBBTb0AAAAJ,"Representation of sea ice regimes in the Western Ross Sea, Antarctica, based on satellite imagery and AMPS wind data",2023,Google Scholar,Adrian,McDonald,2023-12-21 16:16:04.522082
>>>>>>> 14569283105bccaf474c4b441f5251d5d7680d66
